url,doc_id,title,audience,category,language,document_version,license_or_permission
https://guide.openfoodnetwork.org/shopping-with-open-food-network/frequently-asked-questions,ofn-buyer-faq,Frequently Asked Questions,buyer,order-changes,en,not-stated,CC-BY-SA-4.0
https://guide.openfoodnetwork.org/shopping-with-open-food-network/regular-automated-orders,ofn-buyer-subscriptions,Subscription Orders,buyer,subscriptions,en,not-stated,CC-BY-SA-4.0
https://guide.openfoodnetwork.org/basic-features/orders/refunds-and-adjusting-payments,ofn-seller-refunds,Refunds and Adjusting Payments,seller,refunds-policy,en,not-stated,CC-BY-SA-4.0
https://guide.openfoodnetwork.org/basic-features/orders/view-orders,ofn-seller-orders,Manage Orders,seller,order-changes,en,not-stated,CC-BY-SA-4.0
https://guide.openfoodnetwork.org/basic-features/subscriptions/subscriptions-creating-and-managing-orders,ofn-seller-subscriptions,Subscriptions - Creating & Managing orders,seller,subscriptions,en,not-stated,CC-BY-SA-4.0
